no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
,Lithobates,pipiens,Chordata,Amphibia,Anura,NA,Adult,365,1-2 years (amphibio),365,1-2 years (amphibio),Y,0-1,mean total distance moved was 134.3m,,,16.5,SVL - amphibio,,,,,,winter,hibernates in mud of ponds+ streams+ lakes+ or marshes usually near underwater trees or rocks (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm),non-migratory,taxa,NA,NA,NA,0.000348-0.001347,"mean home range from 348-1347m^2 (http://www.herpconbio.org/Volume_4/Issue_2/Blomquist_Hunter_2009.pdf)
500m2 (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm)",Micky/Nikki,3285,6-9 years (http://www.aquatic.uoguelph.ca/amphibians/amphib/accounts/ranidae/leopard/account.htm) 9 years max (amphibio),
,Lithobates,sylvaticus,Chordata,Amphibia,Anura,Ranidae,adult,365,1-2.7 years (amphibio),365,1-2.7 years (amphibio),Y,0-1,"cannot disperse more than 2km - ""Although the migration distance of any individual adult frog+ or dispersal of juvenile frogs+ in a single event would not likely cover the smallest pairwise distance between ponds in this study (1.9 km)"" (https://doi.org/10.1007/s10592-015-0757-6)",,,8.3,SVL - amphibio+ 6 from (Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey+ available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\,,,,,,winter,frogs seek out terrestrial locations with ample cover to hibernate (https://animaldiversity.org/accounts/Lithobates_sylvaticus/),non-migratory,taxa,NA,NA,NA,0.0000836,83.6m2 (https://animaldiversity.org/accounts/Lithobates_sylvaticus/),Micky/Nikki,1898,5.2 years max (amphibio) ,
,Litoria,aurea,Chordata,Amphibia,Anura,NA,Adult,182.5,0.5-1.6 years (amphibio),182.5,0.5-1.6 years (amphibio),Y,1-10,mark/recapture studies found individuals moved up to 3 km (White+ A.W. & G.H. Pyke (2008). Green and Golden Bell Frogs in New South Wales; current status and future prospects. Australian Zoologist. 34(3):319-333.),,,9.39,SVL - amphibio,,,,,,none,not proven to undergo any seasonal inactivity (wikipedia) but known to use overwintering habitat (https://www.environment.nsw.gov.au/resources/nature/recoveryplanGreenGoldBellFrogDraft.pdf),non-migratory,taxa,NA,NA,NA,unk,recapture data has no easy way to estimate ,Nikki,3650,10 years max (amphibio),
,Litoria,australis,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,unk,,,,10,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,bicolor,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,unk,,,,3,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,caerulea,Chordata,Amphibia,Anura,NA,Adult,730,2 years (https://animaldiversity.org/accounts/Litoria_caerulea/),730,2 years (https://animaldiversity.org/accounts/Litoria_caerulea/),Y,0-1,max 226m moved in a day+ tracking 20 days or longer moved total distance of 48 m to 653 m (https://doi.org/10.1111/aec.12158),,,10,SVL - amphibio,,,,,,dry,cover themselves in a cocoon of sloughed epidermis and mucus and burrow to keep moist (https://animaldiversity.org/accounts/Litoria_caerulea/),non-migratory,taxa,NA,NA,NA,0.000207-0.001956,average 'activity area' 207-1946m^2 (https://doi.org/10.1111/aec.12158),Nikki,7300,20 years max (amphibio),
,Litoria,chloris,Chordata,Amphibia,Anura,NA,Adult,1095,3 years (amphibio),1095,3 years (amphibio),Y,unk,,,,7,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,2190,6 years max (amphibio),
,Litoria,ewingii,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,0-1,populations isolated genetically when 6km away (https://doi.org/10.1071/ZO15017),,,5,SVL - amphibio,,,,,,winter,torpid state during the winter (https://www.ingentaconnect.com/content/cryo/cryo/2007/00000028/00000005/art00004#),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,fallax,Chordata,Amphibia,Anura,NA,Adult,unk,,365,1 year+ 2 male frogs (https://doi.org/10.1093/conphys/coy043),,0-1,found patch isolation of 5km (https://doi.org/10.1007/s00442-014-3157-6) and breeding migration only a few hundred meters (https://research-repository.griffith.edu.au/bitstream/handle/10072/44606/73708_1.pdf?sequence=1),,,2.5,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,"""often encountered in dry eucalypt forest hundreds of metres from suitable breeding habitat"" (https://research-repository.griffith.edu.au/bitstream/handle/10072/44606/73708_1.pdf?sequence=1)",Nikki,unk,,
,Litoria,freycineti,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,unk,"""very mobile"" (Status of Conservation and Decline of Amphibians: Australia+ New Zealand+ and Pacific Islands)",,,4.9,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,gracilenta,Chordata,Amphibia,Anura,Hylidae,NA,unk,AmphibiaWeb - tadpoles take 14 weeks to mature,unk,AmphibiaWeb,Y,unk,,,,5,Vanderduys+ E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing+ Clayton.,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,,Micky/Nikki,unk,,
,Litoria,lesueuri,Chordata,Amphibia,Anura,NA,Adult,730,2-3 years (amphibio),730,2-3 years (amphibio),Y,0-1,female moved almost 900 m in straight-line distance in only 10 days (https://doi.org/10.1071/WR07014) and only short term annual movements (less than 1km) (https://doi.org/10.1071/WR07014),,,7,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,unable to estimate home range size+ results suggest nomadic (https://doi.org/10.1071/WR07014),Nikki,2555,7 years max (amphibio),
no,Litoria,nasuta,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,1-10,"""dispersing widely during wet season"" (Tyler+ M.+ Doughty+ P.+ Johnstone+ R.+ Smith+ L.+ & Western Australian Museum. (2009). Field guide to frogs of western australia. Welshpool+ W.A.: Western Australian Museum. (2009). Retrieved October 23+ 2019)",,,0.82,SVL from (Tyler+ M.+ Doughty+ P.+ Johnstone+ R.+ Smith+ L.+ & Western Australian Museum. (2009). Field guide to frogs of western australia. Welshpool+ W.A.: Western Australian Museum. (2009). Retrieved October 23+ 2019),0.36-0.55,SVL (Tyler+ M.+ Doughty+ P.+ Johnstone+ R.+ Smith+ L.+ & Western Australian Museum. (2009). Field guide to frogs of western australia. Welshpool+ W.A.: Western Australian Museum. (2009). Retrieved October 23+ 2019),0.33-0.44,SVL (Tyler+ M.+ Doughty+ P.+ Johnstone+ R.+ Smith+ L.+ & Western Australian Museum. (2009). Field guide to frogs of western australia. Welshpool+ W.A.: Western Australian Museum. (2009). Retrieved October 23+ 2019),,none,non-burrowing+ in desert (https://doi.org/10.1007/978-3-319-93943-8_7),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,peronii,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,0-1,"""often found a long distance from water"" (IUCN Redlist) and known to disperse at least 500m (https://doi.org/10.1111/j.1365-2656.2006.01096.x)",,,5.57,SVL - amphibio,,,,,,none,non-burrowing - table 1 (https://doi.org/10.1046/j.1365-2435.2001.00495.x),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,phyllochroa,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,unk,,,,4,SVL - amphibio,,,,,,unk,no good descriptions,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,rothii,Chordata,Amphibia,Anura,NA,Adult,unk,wikipedia 'adpoles take a maximum of 65 days to metamorphose',unk,wikipedia 'adpoles take a maximum of 65 days to metamorphose',Y,0-1,closely related and same sized Wallam sedge frog thought to disperse ~500 m http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1821,,,5.5,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,"no data for this species but it is mid sized so could assume it is mid-lifespand. ""The lifespan of tree frogs varies among species. Some of them are long-lived+ such as the Australian green tree frog (Litoria caerulea)+ which is often kept in captivity for upward of 15 years. Species with lifespans of less than three years are considered short-lived."" - nwf.org national wildlife Federation",
,Litoria,rubella,Chordata,Amphibia,Anura,NA,Adult,365,study classified adults as more than 1 year (https://doi.org/10.1002/rra.1347),365,study classified adults as more than 1 year (https://doi.org/10.1002/rra.1347),Y,unk,,,,3.5,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2) but avoids extreme temperatures by sheltering beneath stones+ bark+ logs+ buildings etc (amphibiaweb),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Litoria,verreauxii,Chordata,Amphibia,Anura,NA,Adult,730,2 years in subspecies (https://doi.org/10.1098/rsob.150251),730,2 years in subspecies (https://doi.org/10.1098/rsob.150251),Y,0-1,known to disperse at least 500m (https://doi.org/10.1111/j.1365-2656.2006.01096.x),,,3,SVL - amphibio,,,,,,none,in non-breeding seasons are found found amongst litter+ under logs+ beneath flat stones in streambeds or in rocky areas near streams (IUCN Redlist),non-migratory,taxa,NA,NA,NA,unk,,Nikki,2555,up to 7 years in subspecies (https://doi.org/10.1016/j.biocon.2019.05.032),
no,Melanophryniscus,rubriventris,Chordata,Amphibia,Anura,NA,Adult,unk,,,,,1-10,estimate since small non-migratory frog (https://doi.org/10.1163/1568538054253519),,,4.5,SVL - amphibio,4.018,SVL (https://doi.org/10.1670/09-202.1),3.735,SVL (https://doi.org/10.1670/09-202.1),,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Mixophyes,fasciolatus,Chordata,Amphibia,Anura,NA,Adult,1241,3.4 years (amphibio),1241,3.4 years (amphibio),Y,0-1,greatest mean distance travelled from stream 105.6m (10.5204/thesis.eprints.102339),,,9.7,SVL - amphibio,,,,,,none,hide in leaf litter in periods of inactivity (https://doi.org/10.1071/WR01107),non-migratory,taxa,NA,NA,NA,0.001621-0.006063,6063 m2 for females and 1621 m2 for males (10.5204/thesis.eprints.102339),Nikki,1934.5,5.3 years max (amphibio),
,Necturus,maculosus,Chordata,Amphibia,Caudata,NA,Adult,1825,AnAge+ amphibio 5-8 years,1825,AnAge,,0-1,maximum distance 265m (https://doi.org/10.1111/j.0906-7590.2005.04042.x),,,48.6,TL - amphibio,,,,,,none,are active throughout the year+ and do not hibernate (https://animaldiversity.org/accounts/Necturus_maculosus/),non-migratory,taxa,NA,NA,NA,0.0001361,average 136.1 m2  (Matson+ 1998; AmphibiaWeb),Ilona/Nikki,12410,34 years max (amphibio)+ Bonin et al 1995; Gendron 2003,
,Neobatrachus,pictus,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,0-1,extremely sedentary and always caught at the same trapping station (https://doi.org/10.1071/WR08090),,,5,SVL - amphibio,,,,,,summer/dry season,cocoons (DOI: 10.1126/science.157.3784.87),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Notophthalmus,viridescens,Chordata,Amphibia,Caudata,NA,Adult,182.5,0.5-5.5 years (amphibio),182.5,0.5-5.5 years (amphibio),Y,0-1,10.6m mean dispersal after 12-28 months (Healy 1975. Terrestrial Activity and Home Range in Efts of Notophthalmus viridescens. American Midland Naturalist),,,14,TL - amphibio,,,,,,winter+dry,winter is spent underground+ aestivation during dry season (ADW and amphibiaweb),non-migratory,taxa,NA,NA,NA,0.00027,based on Healy 1975: 270m2 (Healy 1975. Terrestrial Activity and Home Range in Efts of Notophthalmus viridescens. American Midland Naturalist),Nikki,9125,25 years max (amphibio) - min-max 1095--5475 AmphibiaWeb,
,Odontophrynus,occidentalis,Chordata,Amphibia,Anura,NA,larva,unk,,unk,,,unk,,,,2.87,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
no,Paa,spinosa,Chordata,Amphibia,Anura,Dicroglossidae,adult,unk,,unk,,,0-1,largest movement of 183m in capture-recapture study (https://doi.org/10.1016/j.biocon.2013.12.014),,,12.8,SVL - https://doi.org/10.1007/s10452-009-9310-3,,,,,,unk,,non-migratory,taxa,NA,NA,NA,0-0.00152,0-42m linear home range+ 11.7m mean - used as diameter (https://doi.org/10.1016/j.biocon.2013.12.014),Nikki,unk,,
,Plethodon,cinereus,Chordata,Amphibia,Caudata,NA,Adult,365,1-5 years (amphibio),365,1-5 years (amphibio),Y,0-1,genetic differentiation over as little as 200 m+ individuals move 30-40m to colonize new habitat (https://doi.org/10.1655/09-023.1),,,41.2,TL - amphibio,7.8,78mm TL (amphibiaweb),7.3,73mm TL (amphibiaweb),,none ,found in the leaf litter on the ground as well as under rocks+ logs+ or in small burrows but not dormant/seasonal (amphibiaweb),non-migratory,taxa,NA,NA,NA,0.000104,1.15 m in diameter (amphibiaweb),Nikki,9125,25 years max (amphibio),
,Plethodon,glutinosus,Chordata,Amphibia,Caudata,Plethodontidae,unknown,910,AnAge,730,AmphiBio,,0-1,Wells+ K. D. and Wells+ R. A. 1976. Patterns of movement in a population of the slimy salamander+ Plethodon glutinosus+ with observations on aggregations.  / Herpetologica 32: 156 -162.,,,6.5,Powders+ V.N. 1973. Cannibalism by the slimy salamander+搬ethodon glutinosus橮 eastern Tennessee. Journal of Herpetology 7:139䳱140.,,,,,,winter+dry,winter (AmphibiaWeb) goes underground during dry or freezing weather (IUCN Redlist) - hibernation and aestivation (NatureServe Explorer),non-migratory,taxa,NA,NA,NA,0.0000065-0.000014,70.2-154.9ft2 (https://www.biodiversitylibrary.org/part/101962#/details),Micky/Ilona/Nikki,1825,5 years max (AmphibiaWeb+ Semlitsch 1980),
,Plethodon,jordani,Chordata,Amphibia,Caudata,NA,Adult,1825,AnAge,1095,AnAge,,0-1,300m (https://doi.org/10.1111/j.0906-7590.2005.04042.x),,,18.4,TL - amphibio,,,,,,winter,winter in their burrows deep underground (amphibiaweb),non-migratory,taxa,NA,NA,NA,0.0000028-0.0000115,30.3-123.5ft2 (https://www.biodiversitylibrary.org/part/101962#/details),Nikki,7227,19.8 years max (amphibio),
,Pseudacris,crucifer,Chordata,Amphibia,Anura,NA,Adult,730,2-7 years (amphibio),730,2-7 years (amphibio),Y,0-1,average daily travel ranges from 6.1 - 39.6 m (https://animaldiversity.org/accounts/Pseudacris_crucifer/),,,3.7,SVL - amphibio,,,,,,winter,hibernates under logs and in tree holes (https://animaldiversity.org/accounts/Pseudacris_crucifer/),non-migratory,taxa,NA,NA,NA,0.0000012-0.0000055,1.2-5.5 m2 (https://animaldiversity.org/accounts/Pseudacris_crucifer/),Nikki,1825,5 years max (amphibio),
,Pseudacris,regilla,Chordata,Amphibia,Anura,NA,Adult,365,1-2 years (amphibio),365,1-2 years (amphibio),Y,1-10,up to 1 mile (https://pages.uoregon.edu/titus/herp_old/regillahistory.htm),,,5,SVL - amphibio,,,,,,winter,freeze-tolerance+ overwinters on the forest floor under organic detritus (Yeabsley+ J. (2012). Correlation of Environmental Temperature and Ice Content During Freezing in Pseudacris regilla.) hibernates according to (https://pages.uoregon.edu/titus/herp_old/regillahistory.htm),non-migratory,taxa,NA,NA,NA,0.13,usually under 200m from the breeding pond+ used as radius (https://pages.uoregon.edu/titus/herp_old/regillahistory.htm),Nikki,1095,3 years (https://pages.uoregon.edu/titus/herp_old/regillahistory.htm),
no,Pseudacris,triseriata,Chordata,Amphibia,Anura,NA,Juvenile,120,4-7 months+ from early-March/mid-May to end of summer (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),120,4-7 months+ from early-March/mid-May to end of summer (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Y,0-1,"(Kramer+ D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60  - J. Herpetol. 7: 231  -235.) and found to move 213m max from native pond (https://www.registrelep sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf) and ""do not disperse widely"" (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf)",,,3.9,SVL - amphibio,2.56,25.6mm (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),2.47,24.7mm (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Y,winter,hibernates under refuge or in animal burrows (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),non-migratory,taxa,NA,NA,NA,0.000641-0.006024,641-6024m^2 (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Micky/Nikki,1825,Max 5 years https://animaldiversity.org/accounts/Pseudacris_triseriata/,
,Pseudacris,triseriata,Chordata,Amphibia,Anura,Hylidae,adult,120,4-7 months+ from early-March/mid-May to end of summer (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),120,4-7 months+ from early-March/mid-May to end of summer (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Y,0-1,"(Kramer+ D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60  - J. Herpetol. 7: 231  -235.) and found to move 213m max from native pond (https://www.registrelep sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf) and ""do not disperse widely"" (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf)",,,3.9,SVL - amphibio,2.56,25.6mm (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),2.47,24.7mm (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Y,winter,hibernates under refuge or in animal burrows (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),non-migratory,taxa,NA,NA,NA,0.000641-0.006024,641-6024m^2 (https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_chorus_frog_0808_e.pdf),Micky/Nikki,1825,Max 5 years https://animaldiversity.org/accounts/Pseudacris_triseriata/,
,Pseudophryne,bibroni,Chordata,Amphibia,Anura,Hylidae,adult,unk,,unk,,,0-1, measured lifetime dispersal of ~3 m (https://doi.org/10.1038/hdy.1981.86),,,3.6,SVL - amphibio,,,,,,winter,overwinter between breeding seasons under rocks or logs (Woodruff+ D. S. (1977). Male postmating brooding behavior in three Australian Pseudophryne (Anura: Leptodactylidae). Herpetologica+ 33(3)+ 296-303.),non-migratory,taxa,NA,NA,NA,0.00230688,used figure 1 + webplotdigitizer to estimate area where all were recaptured; 43.2x53.4m (Woodruff+ D. S. (1977). Male postmating brooding behavior in three Australian Pseudophryne (Anura: Leptodactylidae). Herpetologica+ 33(3)+ 296-303.),Nikki,2190,likely to experience at least 5 breeding seasons over lifetime (Woodruff+ D. S. (1977). Male postmating brooding behavior in three Australian Pseudophryne (Anura: Leptodactylidae). Herpetologica+ 33(3)+ 296-303.),
,Anolis,roquet,Chordata,Lepidosauria,Squamata,Iguanidae,NA,318,mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf),318,mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf),Y,0-1,MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x),,,8.6,SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.),5.23,52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf),,,,none,no dormancy reported,non-migratory,taxa,NA,NA,NA,unk,,Nikki,2445.5,6.7 years (AnAge),
,Takydromus,hsuehshaner,Chordata,Lepidosauria,Squamata,Lacertidae,males_adults,730,more than 2 years old (https://doi.org/10.2108/zsj.30.15),730,more than 2 years old (https://doi.org/10.2108/zsj.30.15),Y,unk,,,,7.2,SVL 72 mm (DOI: 10.2307/1447333),,,,,,Oct - Apr,"""hibernates from late October to the following April"" (https://doi.org/10.2108/zsj.30.15)",non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,name does not appear anywhere - could this species be Takydromus hsuehshanensis?
,Oreochromis,mossambicus,Chordata,Actinopterygii,NA,Cichlidae,juveniles,171,AnAge,293,AnAge,,1-10,"MIGRATION: migrates within 2.5 km stream (Ellender+ B. R.+ Weyl+ O. L. F.+ Shanyengange+ M. K.+ & Cowley+ P. D. (2008). Juvenile population dynamics of Oreochromis mossambicus in an intermittently open estuary at the limit of its natural distribution. African Zoology+ 43(2)+ 277–283.)
LARVAE: mouthbrooder (NatureServe Explorer) ",,,39,SL male/unsexed -fishbase,35,TL male/unsexed -fishbase,35,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,Ellender+ B. R.+ Weyl+ O. L. F.+ Shanyengange+ M. K.+ & Cowley+ P. D. (2008). Juvenile population dynamics of Oreochromis mossambicus in an intermittently open estuary at the limit of its natural distribution. African Zoology+ 43(2)+ 277–283.,NA,NA,NA,unk,,Joanne/Nikki,4015,11 years max (fishbase),
,Carassius,auratus,Chordata,Actinopterygii,NA,Cyprinidae,NA,270,9 months - 4 years (NatureServe Explorer),270,9 months - 4 years (NatureServe Explorer),,1-10,MOVEMENT: high residency (64% of days fish were found at the reciever) with one fish regularily moving over a range of 5.4km (https://doi.org/10.1111/eff.12288),,,48,TL male/unsexed -fishbase,10,TL male/unsexed -fishbase,10,TL male/unsexed -fishbase,Y,none,no dormancy (https://doi.org/10.1016/j.chemosphere.2004.11.063),non-migratory,NatureServe Explorer,NA,NA,NA,unk,,Joanne/Nikki,14965,6–7 years nas.er.usgs.gov (maximum 41 years - fishbase),
,Pimephales,promelas,Chordata,Actinopterygii,NA,Cyprinidae,NA,60,AnAge,60,AnAge,,1-10,"MOVEMENT: movement of 3 km (Schlosser+ I. J. 1995. Dispersal+ boundary processes+ and trophic-level interactions in streams adjacent to beaver ponds. Ecology 76(3):908-925.)
LARVAE: eggs guarded and laid in still water (NatureServe Explorer) ",,,10.1,TL male/unsexed -fishbase,7.3,TL male/unsexed -fishbase,7.3,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,During periods of high stream discharge+ fathead minnows showed downstream movement in a small Minnesota stream - stream was 3 km (Schlosser 1995). - Schlosser+ I. J. 1995. Dispersal+ boundary processes+ and trophic-level interactions in streams adjacent to beaver ponds. Ecology 76(3):908-925.,NA,NA,NA,unk,,Joanne/Nikki,1825,maximum longevity is apparently 2-3 years+ 5 years on fishbase (Schlosser and Ebel 1989) - Schlosser+ I. J. and K. K. Ebel. 1989. Effects of flow regime and cyprinid predation on a headwater stream. Ecol. Monogr. 59(1):41-57. ,
,Rhinichthys,atratulus,Chordata,Actinopterygii,NA,Cyprinidae,NA,365,AnAge,365,AnAge,,0-1,MOVMENT: dispersed up to 680 meters downstream from release sites one month post transplant and showed no site fidelity - (Dispersal and Reproduction of Relocated Blacknose Dace ( Rhinichthys atratulus ) in an Acid-Mitigated Southern Appalachian Headwater Stream (2015) DOI: 10.5406/jappastud.21.1.0049 Fitzgerald),,,12.4,TL male/unsexed -fishbase,5.7,TL male/unsexed -fishbase,5.7,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Joanne/Nikki,1460,AnAge max age 4 years+ 3 years on fishbase,
,Lepidonotothen,squamifrons,Chordata,Actinopterygii,NA,Nototheniidae,NA,2920,8 years (https://doi.org/10.1017/S0954102013000667),2920,8 years (https://doi.org/10.1017/S0954102013000667),Y,100+,LARVAE: PLD 5-6 months (https://doi.org/10.1007/s003009900106),,,55,TL male/unsexed -fishbase,35,TL male/unsexed -fishbase,35,TL male/unsexed -fishbase,Y,none,no dormancy reported,unk,,NA,NA,NA,unk,,Joanne/Nikki,6935,19 years max (fishbase),
,Etheostoma,blennioides,Chordata,Actinopterygii,NA,Percidae,NA,365,AnAge,365,AnAge,,10-100,LARVAE: PLD 2 weeks; fry settle to bottom and behave as adults after 2 weeks (http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.579.2561&rep=rep1&type=pdf),,,17,TL male/unsexed -fishbase,5.5,TL male/unsexed -fishbase,5.5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1825,5 years max (fishbase),
,Gambusia,affinis,Chordata,Actinopterygii,NA,Poeciliidae,NA,90,AnAge,90,AnAge,,0-1,"MOVEMENT: never moved more than 2-30m (https://doi.org/10.1007/s11160-006-6394-x)
LARVAE: ovoviviparous (fishbase)",,,5.1,TL male/unsexed -fishbase,3.9,TL male/unsexed -fishbase,3.9,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1095,few individuals more than 15 months+ 3 years max (fishbase + IUCN Red List),
,Acipenser,brevirostrum,Chordata,Actinopterygii,NA,Acipenseridae,NA,1460,4-6 years (IUCN Red List),730,2-3 years (IUCN Red List),,10-100,"GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748)
MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",,,143,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,"""may be inactive in winter"" but not dormant (NatureServe Explorer)",migratory,IUCN Red List,spring-fall,spring-fall,"DISTANCE: up to 200km moved to spawn (IUCN Redlist)
TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer)
POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer",3.14-314.16,2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x),Nikki,25125,32-67 years max (IUCN),
