num,reference,in_text
223,"Jones, K. E., Bielby, J., Cardillo, M., Fritz, S. A., O’Dell, J., Orme, C. D. L., Safi, K., Sechrest, W., Boakes, E. H., Carbone, C., Connolly, C., Cutts, M. J., Foster, J. K., Grenyer, R., Habib, M., Plaster, C. A., Price, S. A., Rigby, E. A., Rist, J., … Purvis, A. (2009). PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology, 90(9), 2648–2648. https://doi.org/10.1890/08-1494.1"," K. E. Jones et al., 2009"
224,"Jones, R. L. (1986). Reproductive biology of Desmognathus fuscus and Desmognathus santeetlah in the Unicoi Mountains. Herpetologica."," R. L. Jones, 1986"
225,"Kearney, B. D., Byrne, P. G., & Reina, R. D. (2015). Anuran developmental plasticity loss: The cost of constant salinity stress. Australian Journal of Zoology, 63(5), 331–337. https://doi.org/10.1071/ZO15017"," Kearney et al., 2015"
226,"Kellermann, A. (1991). Egg and larval drift of the Antarctic fish Notothenia corriceps. Cybium (Paris)."," Kellermann, 1991"
227,"Kelley, D. F., & Pickett, G. D. (1987). The distribution and migrations of bass, dicentrarchus labrax l., in waters around england and wales as shown by tagging. Journal of the Marine Biological Association of the United Kingdom, 67(1), 183–217. https://doi.org/10.1017/S0025315400026448"," Kelley & Pickett, 1987"
228,"Kennedy, M., & Fitzmaurice, P. (1974). Biology of the rudd Scardinius erythrophthalmus (L) in Irish waters. Proceedings of the Royal Irish Academy. Section B: Biological, Geological, and Chemical Science."," M. Kennedy & Fitzmaurice, 1974"
229,"Kennedy, S. E. (1977). Life History of the Leon Springs Pupfish, Cyprinodon bovinus. Copeia. https://doi.org/10.2307/1443509"," S. E. Kennedy, 1977"
230,"Kestemont, P., Rinchard, J., Feys, V., & Fostier, A. (1999). Spawning migrations, sexual maturity and sex steroid levels in female roach Rutilus rutilus from the River Meuse. Aquatic Sciences, 61(2), 111–121. https://doi.org/10.1007/pl00001322"," Kestemont et al., 1999"
231,"Kim, J. H., Chung, H., Oh, Y. S., & Lee, I. K. (2001). Macroalgal Flora of Maxwell Bay, King George Island, Antarctica: I. Chlorophyta, Chrysophyta and Phaeophyta. Ocean and Polar Research."," Kim et al., 2001"
232,"Kirby, L. J., Johnson, S. L., & Ringler, N. H. (2017). Diel movement and home range estimation of walleye (Sander vitreus) within a no-take urban fishery. Journal of Freshwater Ecology, 32(1), 49–64. https://doi.org/10.1080/02705060.2016.1240110"," Kirby et al., 2017"
233,"Klein, R. M. (2001). Isolation Effects of Aquatic Habitat Fragmentation on Greenside (Etheostoma blennioides) and Fantail (Etheostoma flabellare) Darters."," Klein, 2001"
234,"Kneib, R. T., & Stiven, A. E. (1978). Growth, reproduction, and feeding oF Fundulus heteroclitus (L.) on a North Carolina salt marsh. Journal of Experimental Marine Biology and Ecology. https://doi.org/10.1016/0022-0981(78)90125-9"," Kneib & Stiven, 1978"
235,"Knight, C. M., Gozlan, R. E., & Lucas, M. C. (2008). Can seasonal home-range size in pike Esox lucius predict excursion distance? Journal of Fish Biology, 73(4). https://doi.org/10.1111/j.1095-8649.2008.01989.x"," Knight et al., 2008"
236,"Komar, C., Turnbull, J. F., Roque, A., Fajer, E., & Duncan, N. J. (2004). Effect of water treatment and aeration on the percentage hatch of demersal, adhesive eggs of the bullseye puffer (Sphoeroides annulatus). Aquaculture, 229(1–4), 147–158. https://doi.org/10.1016/S0044-8486(03)00367-3"," Komar et al., 2004"
237,"Kong, Y. H., & Chen, I. S. (2013). Reproductive biology of intertidal frillfin goby, Bathygoboius fuscus in Keelung, Taiwan. Journal of Marine Science and Technology (Taiwan), 21(SUPPL), 213–215. https://doi.org/10.6119/JMST-013-1219-15"," Kong & Chen, 2013"
238,"Koubbi, P., Duhamel, G., & Hebert, C. (2000). Role of bay, fjord and seamount on the early life history of Lepidonotothen squamifrons from the Kerguelen Islands. Polar Biology, 23(7), 459–465. https://doi.org/10.1007/s003009900106"," Koubbi et al., 2000"
239,"Kramer, D. C. (1973). Movements of Western Chorus Frogs Pseudacris triseriata triseriata Tagged with Co 60. Journal of Herpetology, 7(3), 231. https://doi.org/10.2307/1563008"," Kramer, 1973"
240,"Krekorian, C. O. (1984). Life history of the desert iguana, Dipsosaurus dorsalis. Herpetologica."," Krekorian, 1984"
241,"Kristensen, I. (1970). Competition in three cyprinodont fish species in the Netherlands Antilles. Studies on the Fauna of Curaçao and Other Caribbean Islands, 119, 82–101. http://www.repository.naturalis.nl/document/549947%0Ahttp://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Competition+in+Three+Cyprinodont+Fish+Species+in+the+Netherlands+Antilles#0"," Kristensen, 1970"
242,"Kulíšková, P., Horký, P., Slavík, O., & Jones, J. I. (2009). Factors influencing movement behaviour and home range size in ide Leuciscus idus. Journal of Fish Biology, 74(6), 1269–1279. https://doi.org/10.1111/j.1095-8649.2009.02198.x"," Kulíšková et al., 2009"
243,"Kynard, B., Breece, M., Atcheson, M., Kieffer, M., & Mangold, M. (2009). Life history and status of shortnose sturgeon (Acipenser brevirostrum) in the potomac river. Journal of Applied Ichthyology, 25(SUPPL. 2). https://doi.org/10.1111/j.1439-0426.2009.01224.x"," Kynard et al., 2009"
244,"La Mesa, M., Ashford, J., Larson, E., & Vacchi, M. (2004). Age and growth of Scotia Sea icefish, Chaenocephalus aceratus, from the South Shetland Islands. Antarctic Science. https://doi.org/10.1017/S0954102004002044"," M. La Mesa et al., 2004"
245,"La Mesa, M., & Vacchi, M. (2001). Age and growth of high antarctic notothenioid fish. In Antarctic Science (Vol. 13, Issue 3, pp. 227–235). https://doi.org/10.1017/S0954102001000335"," M. La Mesa & Vacchi, 2001"
246,"La Mesa, M., & Ashford, J. (2008). Age and growth of ocellated icefish, Chionodraco rastrospinosus DeWitt and Hureau, 1979, from the South Shetland Islands. Polar Biology, 31(11). https://doi.org/10.1007/s00300-008-0471-7"," M. La Mesa & Ashford, 2008"
247,"Labelle, M. (1992). Straying patterns of coho salmon (Oncorhynchus kisutch) stocks from southeast vancouver island, british columbia. Canadian Journal of Fisheries and Aquatic Sciences, 49(9), 1843–1855. https://doi.org/10.1139/f92-204"," Labelle, 1992"
248,"Landman, M. J., Bleackley, N. A., Ling, N., & ven derHeuvel, M. R. (2010). Physiological health of common bully (Gobiomorphus cotidianus) in the Tarawera and Rangitaiki Rivers of New Zealand: Evidence of diminished ecological effects of pulp and paper effluents in wild fish populations. Water Quality Research Journal of Canada, 45(2), 223–233. https://doi.org/10.2166/wqrj.2010.025"," Landman et al., 2010"
249,"Latour, R. J. (2012). Data analyses in relation to water flow for fishes in the Sacramento‐San Joaquin delta ecosystem."," Latour, 2012"
250,"Lauck, B. (2005a). Life history of the frog Crinia signifera in Tasmania, Australia. Australian Journal of Zoology, 53(1). https://doi.org/10.1071/ZO04028"," Lauck, 2005a"
251,"Lauck, B. (2005b). The impact of recent logging and pond isolation on pond colonization by the frog Crinia signifera. Pacific Conservation Biology, 11(1). https://doi.org/10.1071/PC050050"," Lauck, 2005b"
252,"Le Thi Nhu Phuong, & Nguyen Quang Linh. (2017). Study on Reproductive Performance of Terapon jarbua (Forsskal, 1775) in Tam Giang-Cau Hai Lagoon Systems, Thua Thien Hue Province. Journal of Agricultural Science and Technology A. https://doi.org/10.17265/2161-6256/2017.10.012s"," Le Thi Nhu Phuong & Nguyen Quang Linh, 2017"
253,"Leips, J., Helen Rodd, F., & Travis, J. (2013). The adaptive significance of population differentiation in offspring size of the least killifish, Heterandria formosa. Ecology and Evolution, 3(4), 948–960. https://doi.org/10.1002/ece3.509"," Leips et al., 2013"
254,"Li, C. R., Kim, K. T., Kang, Y. J., Kim, A., Kang, S. W., & Park, J. S. (2005). A novel enzyme-linked immunosorbent assay system for the quantitative analysis of Carassius auratus vitellogenin. Chemosphere, 59(7), 997–1003. https://doi.org/10.1016/j.chemosphere.2004.11.063"," Li et al., 2005"
255,"Liang, Y., Sui, X., Chen, Y., Jia, Y., & He, D. (2014). Life history traits of the Chinese minnow Rhynchocypris oxycephalus in the upper branch of Yangtze River, China. Zoological Studies, 53(1). https://doi.org/10.1186/s40555-014-0036-0"," Liang et al., 2014"
256,"Licht, P., & Gorman, G. C. (1970). Reproductive and fat cycles in Caribbean Anolis lizards. University of California Publications in Zoology, 95, 1–52."," Licht & Gorman, 1970"
257,"Lirakis, M., Dolezal, M., & Schlötterer, C. (2018). Redefining reproductive dormancy in Drosophila as a general stress response to cold temperatures. Journal of Insect Physiology, 107, 175–185. https://doi.org/10.1016/j.jinsphys.2018.04.006"," Lirakis et al., 2018"
258,"Liu, S. Y. V., Huang, I. H., Liu, M. Y., Lin, H. Du, Wang, F. Y., & Liao, T. Y. (2015). Genetic stock structure of terapon jarbua in taiwanese waters. Marine and Coastal Fisheries, 7(3–4), 464–473. https://doi.org/10.1080/19425120.2015.1074966"," Liu et al., 2015"
259,"Llewelyn, J., Macdonald, S., Hatcher, A., Moritz, C., & Phillips, B. L. (2017). Thermoregulatory behaviour explains countergradient variation in the upper thermal limit of a rainforest skink. Oikos, 126(5), 748–757. https://doi.org/10.1111/oik.03933"," Llewelyn et al., 2017"
260,"Llewelyn, J., Macdonald, S. L., Hatcher, A., Moritz, C., & Phillips, B. L. (2016). Intraspecific variation in climate-relevant traits in a tropical rainforest lizard. Diversity and Distributions. https://doi.org/10.1111/ddi.12466"," Llewelyn et al., 2016"
261,"Lngersoll, C. G., Hlohowskyj, I., & Mundahl, N. D. (1984). Movements and densities of the darters Etheostoma flabellare, E. spectabile, and E. nigrum during spring spawning. Journal of Freshwater Ecology, 2(4), 345–351. https://doi.org/10.1080/02705060.1984.9664612"," Lngersoll et al., 1984"
262,"Verdú, J. R., & Lobo, J. M. (2008). Ecophysiology of thermoregulation in endothermic dung beetles: Ecological and geographical implications. Insect Ecology and Conservation. https://doi.org/10.1017/CBO9781107415324.004","Verdú & Lobo, 2008"
263,"Longo, A. V., & Burrowes, P. A. (2010). Persistence with chytridiomycosis does not assure survival of direct-developing frogs. EcoHealth, 7(2), 185–195. https://doi.org/10.1007/s10393-010-0327-9"," Longo & Burrowes, 2010"
264,"Lonzarich, D. G., Lonzarich, M. R., & Warren Jr., M. L. (2000). Effects of riffle length on the short-term movement of fishes among stream pools. Canadian Journal of Fisheries and Aquatic Sciences, 57(7), 1508–1514. https://doi.org/10.1139/cjfas-57-7-1508"," Lonzarich et al., 2000"
265,"Losee, J. P., Claiborne, A. M., Dionne, P. E., Faulkner, H. S., & Seamons, T. R. (2018). Size, age, growth and site fidelity of anadromous cutthroat trout Oncorhynchus clarkii clarkii in the Salish Sea. Journal of Fish Biology, 93(5), 978–987. https://doi.org/10.1111/jfb.13824"," Losee et al., 2018"
266,"Lotrich, V. A. (1975). Summer Home Range and Movements of Fundulus Heteroclitus (Pisces: Cyprinodontidae) in a Tidal Creek. Ecology. https://doi.org/10.2307/1935311"," Lotrich, 1975"
267,"MacLean, N. G., & Teleki, G. C. (1977). Homing Behaviour of Rock Bass (Ambloplites Rupestris) in Long Point Bay, Lake Erie. Journal of Great Lakes Research, 3(3–4), 211–214. https://doi.org/10.1016/S0380-1330(77)72251-8"," MacLean & Teleki, 1977"
268,"Macpherson, E., & Raventos, N. (2006). Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes. Marine Ecology Progress Series, 327, 257–265. https://doi.org/10.3354/meps327257"," Macpherson & Raventos, 2006"
269,"Madison, D. M. (1997). The Emigration of Radio-Implanted Spotted Salamanders, Ambystoma maculatum. Journal of Herpetology, 31(4), 542. https://doi.org/10.2307/1565607"," Madison, 1997"
270,"Mangiacotti, M., Scali, S., Sacchi, R., Bassu, L., Nulchis, V., & Corti, C. (2013). Assessing the Spatial Scale Effect of Anthropogenic Factors on Species Distribution. PLoS ONE, 8(6). https://doi.org/10.1371/journal.pone.0067573"," Mangiacotti et al., 2013"
271,"Manion, P. J. (1977). Downstream Movement of Fish in a Tributary of Southern Lake Superior. Progressive Fish-Culturist, 39(1). https://doi.org/10.1577/1548-8659(1977)39[14:DMOFIA]2.0.CO;2"," Manion, 1977"
272,"Marjan, P., Martyniuk, C. J., Fuzzen, M. L. M., MacLatchy, D. L., McMaster, M. E., & Servos, M. R. (2017). Returning to normal? Assessing transcriptome recovery over time in male rainbow darter (Etheostoma caeruleum) liver in response to wastewater-treatment plant upgrades. Environmental Toxicology and Chemistry, 36(8), 2108–2122. https://doi.org/10.1002/etc.3741"," Marjan et al., 2017"
273,"Marschoff, E. R., Barrera-Oro, E. R., Alescio, N. S., & Ainley, D. G. (2012). Slow recovery of previously depleted demersal fish at the South Shetland Islands, 1983-2010. Fisheries Research, 125–126, 206–213. https://doi.org/10.1016/j.fishres.2012.02.017"," Marschoff et al., 2012"
274,"Martin, D. R., Powell, L. A., & Pope, K. L. (2009). Spring home ranges of white bass in irrigation reservoirs of the Republican River Basin, Nebraska. Ecology of Freshwater Fish, 18(4). https://doi.org/10.1111/j.1600-0633.2009.00377.x"," Martin et al., 2009"
275,"Massot, M., Huey, R. B., Tsuji, J., & Van Berkum, F. H. (2003). Genetic, prenatal, and postnatal correlates of dispersal in hatchling fence lizards (Sceloporus occidentalis). Behavioral Ecology, 14(5). https://doi.org/10.1093/beheco/arg056"," Massot et al., 2003"
276,"McCairns, R. J. S., & Fox, M. G. (2004). Habitat and home range fidelity in a trophically dimorphic pumpkinseed sunfish (Lepomis gibbosus) population. Oecologia, 140(2), 271–279. https://doi.org/10.1007/s00442-004-1580-9"," McCairns & Fox, 2004"
277,"McDougall, P., Popple, I., & Wagner, O. (2019). Reef Smart Guides Barbados: Scuba Dive. Snorkel. Surf. Mango Publishing Group."," McDougall et al., 2019"
278,"McDowall, C. J. (2016). A fish for all seasons: spatial and temporal variation in patterns of demographic heterogeneity for Retropinna retropinna (Issue December)."," C. J. McDowall, 2016"
279,"McDowall, R. M. (2010). New Zealand Freshwater Fishes. In New Zealand Freshwater Fishes. https://doi.org/10.1007/978-90-481-9271-7"," R. M. McDowall, 2010"
280,"McGourty, C. R., Hobbs, J. A., Bennett, W. A., Green, P. G., Hwang, H. M., Ikemiyagi, N., Lewis, L., & Cope, J. M. (2009). Likely population-level effects of contaminants on a resident estuarine fish species: Comparing Gillichthys mirabilis population static measurements and vital rates in San Francisco and Tomales Bays. Estuaries and Coasts, 32(6), 1111–1120. https://doi.org/10.1007/s12237-009-9177-5"," McGourty et al., 2009"
281,"Meats, A., & Smallridge, C. J. (2007). Short- and long-range dispersal of medfly, Ceratitis capitata (Dipt., Tephritidae), and its invasive potential. Journal of Applied Entomology, 131(8), 518–523. https://doi.org/10.1111/j.1439-0418.2007.01168.x"," Meats & Smallridge, 2007"
282,"Meerburg, D. J. (1986). Salmonid age at maturity. In Canadian special publication of fisheries and aquatic sciences."," Meerburg, 1986"
283,"Merchant, H. (1972). Estimated population size and home range of the salamanders Plethodon jordani and Plethodon glutinosus. Journal of The Washington Academy of Sciences."," Merchant, 1972"
284,"Miller, J. M., Reed, J. P., & Pietrafesa, L. J. (1984). Patterns, Mechanisms and Approaches to the Study of Migrations of Estuarine-Dependent Fish Larvae and Juveniles. In Mechanisms of Migration in Fishes (pp. 209–225). https://doi.org/10.1007/978-1-4613-2763-9_14"," J. M. Miller et al., 1984"
285,"Miller, L. M., Kallemeyn, L., & Senanan, W. (2001). Spawning-Site and Natal-Site Fidelity by Northern Pike in a Large Lake: Mark–Recapture and Genetic Evidence. Transactions of the American Fisheries Society, 130(2), 307–316. https://doi.org/10.1577/1548-8659(2001)130<0307:ssansf>2.0.co;2"," L. M. Miller et al., 2001"
286,"Miller, M. L., & Menzel, B. W. (1986). Movements, homing, and home range of muskellunge, Esox masquinongy, in West Okoboji Lake, Iowa. Environmental Biology of Fishes, 16(4). https://doi.org/10.1007/BF00842978"," M. L. Miller & Menzel, 1986"
287,"Miller, P. J. (1961). Age, growth, and reproduction of the rock goby, Gobius paganellus L., in the Isle of Man. Journal of the Marine Biological Association of the United Kingdom, 41(3), 737–769. https://doi.org/10.1017/S0025315400016283"," P. J. Miller, 1961"
288,"Miller, R. S., & Thomas, J. L. (1958). The Effects of Larval Crowding and Body Size on the Longevity of Adult Drosophila Melanogaster. Ecology. https://doi.org/10.2307/1929973"," R. S. Miller & Thomas, 1958"
289,"Milton, D. A., & Arthington, A. H. (1985). Reproductive strategy and growth of the Australian smelt, Retropinna semoni (Weber) (Pisces : Retropinnidae), and the olive perchlet, Ambassis nigripinnis (De Vis) (Pisces : Ambassidae), in Brisbane, south-eastern Queensland. Marine and Freshwater Research, 36(3), 329–341. https://doi.org/10.1071/MF9850329"," Milton & Arthington, 1985"
290,"Minckley, W. L., & Barber, W. E. (1971). Some Aspects of Biology of the Longfin Dace, a Cyprinid Fish Characteristic of Streams in the Sonoran Desert. The Southwestern Naturalist, 15(4). https://doi.org/10.2307/3670225"," Minckley & Barber, 1971"
291,"Mir, J. I., Sarkar, U. K., Dwivedi, A. K., Gusain, O. P., & Jena, J. K. (2013). Stock structure analysis of Labeo rohita (Hamilton, 1822) across the Ganga basin (India) using a truss network system. Journal of Applied Ichthyology, 29(5), 1097–1103. https://doi.org/10.1111/jai.12141"," Mir et al., 2013"
292,"Miyamoto, Y., & Tanimura, A. (1999). Behavior of the antarctic fish Trematomus bernacchii (Pisces, Nototheniidae) beneath the sea ice near the Antarctic station Syowa using acoustic biotelemetry. Fisheries Science, 65(2), 315–316. https://doi.org/10.2331/fishsci.65.315"," Miyamoto & Tanimura, 1999"
293,"Moberly, W. R. (1963). Hibernation in the Desert Iguana, Dipsosaurus dorsalis. Physiological Zoology. https://doi.org/10.1086/physzool.36.2.30155438"," Moberly, 1963"
294,"Mohideen, A., Ahamed, R., & Dharmaretnam, M. (2014). Does Interspecific Competition with Introduced Oreochromis mossambicus Affect Home Range of Etroplus sp.? Trends in Biosciences, 7(January), 846–850."," Mohideen et al., 2014"
295,"Mohr, C. E. (1944). A remarkable salamander migration. Proceedings of the Pensylvania Academy of Science, 18(1935), 51–54."," Mohr, 1944"
296,"Montalvo, A. M., Riordan, E. C., & Beyers, J. L. (2017). Plant Profile for Artemisia californica, Updated 2017. Native Plant Recommendations for Southern California Ecoregions (Issue January 2019)."," Montalvo et al., 2017"
297,"Moore, R., & Reynold, L. F. (1982). Migration patterns of barramundi, lates calcarifer (bloch), in papua new guinea. Marine and Freshwater Research, 33(4), 671–682. https://doi.org/10.1071/MF9820671"," Moore & Reynold, 1982"
298,"Mora, C., & Ospína, A. F. (2001). Tolerance to high temperatures and potential impact of sea warming on reef fishes of Gorgona Island (tropical eastern Pacific). Marine Biology, 139(4), 765–769. https://doi.org/10.1007/s002270100626"," Mora & Ospína, 2001"
299,"Morris, W. F., & Doak, D. F. (1998). Life history of the long-lived gynodioecious cushion plant Silene acaulis (Caryophyllaceae), inferred from size-based population projection matrices. American Journal of Botany, 85(6). https://doi.org/10.2307/2446413"," Morris & Doak, 1998"
300,"Mortensen, A., Ugedal, O., & Lund, F. (2007). Seasonal variation in the temperature preference of Arctic charr (Salvelinus alpinus). Journal of Thermal Biology, 32(6), 314–320. https://doi.org/10.1016/j.jtherbio.2007.03.004"," Mortensen et al., 2007"
301,"Morton, C. V., & Allan, H. H. (1967). Flora of New Zealand, Volume I, Indigenous Tracheophyta (Psilopsida, Lycopsida, Filicopsida, Gymnospermae, Dicotyledones). American Fern Journal. https://doi.org/10.2307/1547018"," Morton & Allan, 1967"
302,"Moyle, P. B., Herbold, B., Stevens, D. E., & Miller, L. W. (1991). ﻿Life history and status of delta smelt in the Sacramento-San Joaquin Estuary, California. Transactions of the American Fisheries Society. https://doi.org/10.1080/1548-8659(1992)121[0067:LHASOD]2.3.CO;2"," Moyle et al., 1991"
303,"Müller, K., & Berg, E. (1982). Spring migration of some anadromous freshwater fish species in the northern Bothnian Sea. Hydrobiologia, 96(2), 161–168. https://doi.org/10.1007/BF02185431"," Müller & Berg, 1982"
304,"Munro, J. L. (1983). Caribbean Coral Reef Fishery R. In Carribean Coral Reef Fishery Ressources (2nd ed.). International Center for Living Aquatic Resources Management. https://digitalarchive.worldfishcenter.org/bitstream/handle/20.500.12348/3560/Pub SR76 7.pdf?sequence=1&isAllowed=y"," Munro, 1983"
305,"Murawski, S. A., & Cole, C. F. (1978). Population Dynamics of Anadromous Rainbow Smelt Osmerus mordax, in a Massachusetts River System. Transactions of the American Fisheries Society, 107(4), 535–542. https://doi.org/10.1577/1548-8659(1978)107<535:pdoars>2.0.co;2"," Murawski & Cole, 1978"
306,"Murray, T. S., Magoro, M. L., Whitfield, A. K., & Cowley, P. D. (2015). Movement behaviour of alien largemouth bass Micropterus salmoides in the estuarine headwater region of the Kowie River, South Africa. African Zoology, 50(4), 263–271. https://doi.org/10.1080/15627020.2015.1079141"," Murray et al., 2015"
307,"NatureServe. (2020). NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. https://explorer.natureserve.org/"," NatureServe, 2020"
308,"Nishida, K., Ohira, M., & Senga, Y. (2014). Movement and assemblage of fish in an artificial wetland and canal in a paddy fields area, in eastern Japan. Landscape and Ecological Engineering, 10(2), 309–321. https://doi.org/10.1007/s11355-013-0226-7"," Nishida et al., 2014"
309,"Nixon, D. E., & Miller, R. L. (1978). Movements of Grass Carp, Ctenopharyngodon idella, in an Open Reservoir System as Determined by Underwater Telemetry. Transactions of the American Fisheries Society, 107(1), 146–148. https://doi.org/10.1577/1548-8659(1978)107<146:mogcci>2.0.co;2"," Nixon & Miller, 1978"
310,"Niyonkuru, C., Laleye, P. A., Villanueva, M. C., & Moreau, J. (2007). Population parameters of main fish species of Lake Nokoué, Benin (West Africa). Journal of Afrotropical Zoology, Sp issue, 149–155."," Niyonkuru et al., 2007"
311,"North, A. W. (2001). Early life history strategies of notothenioids at South Georgia. Journal of Fish Biology, 58(2), 496–505. https://doi.org/10.1111/j.1095-8649.2001.tb02268.x"," North, 2001"
312,"Norton, T. A. (1992). Dispersal by macroalgae. British Phycological Journal, 27(3). https://doi.org/10.1080/00071619200650271"," Norton, 1992"
313,"Novaczek, I., & McLachlan, J. (1987). Correlation of temperature and daylength response of sphaerotrichia divaricata (Phaeophyta, chordariales) with field phenology in nova scotia and distribution in eastern north america. British Phycological Journal. https://doi.org/10.1080/00071618700650261"," Novaczek & McLachlan, 1987"
314,"Nykänen, M., Huusko, A., & Lahti, M. (2004). Changes in movement, range and habitat preferences of adult grayling from late summer to early winter. Journal of Fish Biology, 64(5), 1386–1398. https://doi.org/10.1111/j.0022-1112.2004.00403.x"," Nykänen et al., 2004"
315,"O’Kelley, C. T., & Powers, S. L. (2007). Life -history Aspects of Hypentelium etowanum (Alabama Hog Sucker) (Actinopterygii: Catostomidae) in Northern Georgia. Southeastern Naturalist. https://doi.org/10.1656/1528-7092(2007)6[479:lhaohe]2.0.co;2"," O’Kelley & Powers, 2007"
316,"Ocock, J. F., Kingsford, R. T., Penman, T. D., & Rowley, J. J. L. (2014). Frogs during the flood: Differential behaviours of two amphibian species in a dryland floodplain wetland. Austral Ecology, 39(8), 929–940. https://doi.org/10.1111/aec.12158"," Ocock et al., 2014"
317,"Oliveira, B. F., São-Pedro, V. A., Santos-Barrera, G., Penone, C., & Costa, G. C. (2017). AmphiBIO, a global database for amphibian ecological traits. Scientific Data. https://doi.org/10.1038/sdata.2017.123"," Oliveira et al., 2017"
318,"Olsson, M., Gullberg, A., & Tegelström, H. (1996). Malformed offspring, sibling matings, and selection against inbreeding in the sand lizard (Lacerta agilis). Journal of Evolutionary Biology, 9(2), 229–242. https://doi.org/10.1046/j.1420-9101.1996.9020229.x"," M. Olsson et al., 1996"
319,"Olsson, M. (1997). Determinants of breeding dispersal in the sand lizard,Lacerta agilis, (Reptilia, Squamata). Biological Journal of the Linnean Society, 60(2), 243–256. https://doi.org/10.1006/bijl.1996.0096"," M Olsson, 1997"
320,"Olsson, M., & Shine, R. (1996). Does reproductive success increase with age or with size in species with indeterminate growth? A case study using sand lizards (Lacerta agilis). Oecologia, 105(2), 175–178. https://doi.org/10.1007/BF00328543","Olsson & Shine, 1996"
321,"Ortega-Martínez, I. J., Moreno, C. E., Sánchez-Rojas, G., & Barragán, F. (2014). The Role of Canthon humectus hidalgoensis (Bates) (Coleoptera: Scarabaeidae) in Dung Removal from a Cattle Pasture. The Coleopterists Bulletin. https://doi.org/10.1649/0010-065x-68.4.656"," Ortega-Martínez et al., 2014"
322,"Ortega-Rubio, A., Pilorge, T., Khodadoost, M., & Arriagal, L. (1988). Interpopulation Home Range Comparison of a Temperate Lizard. Herpetology, 20(3), 71–80. http://www.bashanfoundation.org/ortega/ortegainterpopulation.pdf"," Ortega-Rubio et al., 1988"
323,"Osterhaus, D. M., & Martin, E. C. (2019). Trends in Distribution of Plains Minnow (Hybognathus placitus) in Kansas from 1964 to 2017. The American Midland Naturalist, 182(2), 203. https://doi.org/10.1674/0003-0031-182.2.203"," Osterhaus & Martin, 2019"
324,"Ousterhout, B. H., & Liebgold, E. B. (2010). Dispersal Versus Site Tenacity of Adult and Juvenile Red-Backed Salamanders (Plethodon cinereus). Herpetologica, 66(3), 269–275. https://doi.org/10.1655/09-023.1"," Ousterhout & Liebgold, 2010"
325,"Palstra, A. P., & van den Thillart, G. E. E. J. M. (2010). Swimming physiology of European silver eels (Anguilla anguilla L.): Energetic costs and effects on sexual maturation and reproduction. In Fish Physiology and Biochemistry (Vol. 36, Issue 3, pp. 297–322). https://doi.org/10.1007/s10695-010-9397-4"," Palstra & van den Thillart, 2010"
326,"Pankhurst, N. W. (1990). Growth and reproduction of the Antarctic nototheniid fish Pagothenia borchgrevinki. Polar Biology, 10(5), 387–391. https://doi.org/10.1007/BF00237826"," Pankhurst, 1990"
327,"Papetti, C., Pujolar, J. M., Mezzavilla, M., La Mesa, M., Rock, J., Zane, L., & Patarnello, T. (2012). Population genetic structure and gene flow patterns between populations of the Antarctic icefish Chionodraco rastrospinosus. Journal of Biogeography, 39(7), 1361–1372. https://doi.org/10.1111/j.1365-2699.2011.02682.x"," Papetti et al., 2012"
328,"Parker, B. R., & Franzin, W. G. (1991). Reproductive biology of the quillback, Carpiodes cyprinus, in a small prairie river. Canadian Journal of Zoology, 69(8). https://doi.org/10.1139/z91-298"," Parker & Franzin, 1991"
329,"Parr, M. J. (1973). Ecological studies of Ischnura elegans (Vander Linden) (Zygoptera: Coenagrionidae). II. Survivorship, local movements and dispersal. Odonatologica, 2(3), 159–174."," Parr, 1973"
330,"Parris, K. M. (2002). The distribution and habitat requirements of the great barred frog (Mixophyes fasciolatus). Wildlife Research, 29(5), 469–474. https://doi.org/10.1071/WR01107"," Parris, 2002"
331,"Parris, K. M. (2006). Urban amphibian assemblages as metacommunities. Journal of Animal Ecology, 75(3), 757–764. https://doi.org/10.1111/j.1365-2656.2006.01096.x"," Parris, 2006"
332,"Peakall, R., Ruibal, M., & Lindenmayer, D. B. (2003). Spatial autocorrelation analysis offers new insights into gene flow in the Australian bush rat, Rattus fuscipes. Evolution, 57(5), 1182–1195. https://doi.org/10.1111/j.0014-3820.2003.tb00327.x"," Peakall et al., 2003"
333,"Peden, A. E., & Hughes, G. W. (1981). Life history notes relevant to the Canadian status of the speckled dace (Rhinichthys osculus). Syesis, 14, 21–31."," Peden & Hughes, 1981"
334,"Pedersen, P. M. (1985). Trachynema, a new genus in the Punctariaceae (Fucophyceae). Nordic Journal of Botany, 5(5), 497–498. https://doi.org/10.1111/j.1756-1051.1985.tb01684.x"," Pedersen, 1985"
335,"Peer, D. L. (1966). Relationship Between Size and Maturity in the Spottail Shiner, Notropis hudsonius. Journal of the Fisheries Research Board of Canada, 23(3), 455–457. https://doi.org/10.1139/f66-035"," Peer, 1966"
